Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Trading_Range,Price_Change,Volatility20,MA20,MA50,MA200,EMA20,Target
2015-10-21,205.9807891845703,218.29693603515625,222.8228759765625,217.8397674560547,218.4112243652344,14404450,-0.0017769606346734745,-0.0017785413020220471,4.9831085205078125,-0.11428833007815342,0.018993314171671976,203.3921691894531,203.0552377319336,206.83308906555175,206.85873183150315,1
2015-10-23,206.1209716796875,218.4455108642578,222.42286682128903,215.1310577392578,220.3427581787109,12153422,0.0006806088614896844,0.0006803773523173556,7.291809082031222,-1.8972473144530966,0.016706922733353845,204.62366104125977,202.9946630859375,206.9105216217041,207.9622345965274,0
2015-10-26,203.36019897460935,215.5196533203125,220.12559509277344,215.16534423828125,219.8741607666016,10938775,-0.013393992544728617,-0.013484501152515786,4.9602508544921875,-4.354507446289091,0.017260745172995848,205.68085861206055,202.88882904052736,206.9760107421875,208.68198876069738,0
2015-10-27,202.6483917236328,214.76531982421875,216.7539978027344,214.27386474609372,214.5938873291016,11601798,-0.0035000682511893144,-0.003506207820197479,2.480133056640682,0.17143249511715908,0.01671273724812827,206.84891815185546,202.8735137939453,207.0488144683838,209.26135362388987,0
2015-10-28,202.0876007080078,214.17100524902344,215.98825073242188,212.5594940185547,214.1595764160156,11958727,-0.002767274416939136,-0.0027711103992332725,3.4287567138671875,0.011428833007840922,0.016685735849983546,208.02269287109374,202.88997161865234,207.16407752990722,209.72893949295022,1
2015-10-29,202.96115112304688,215.0967712402344,216.0111083984375,213.71383666992188,213.953857421875,13280382,0.004322555194315569,0.004313239787205133,2.297271728515625,1.1429138183594034,0.016683637880497596,209.16846618652343,202.77133697509765,207.26316833496094,210.24016156412014,1
2015-10-30,204.40626525878903,216.62828063964844,218.50265502929688,214.89105224609372,215.34820556640625,13366359,0.007120094786097653,0.007094866591854135,3.6116027832031534,1.2800750732421875,0.016024723259922873,210.1445167541504,202.7576220703125,207.38391738891602,210.84855385702758,1
2015-11-02,207.01608276367188,219.3941345214844,219.78273010253903,216.05682373046875,216.9254302978516,7222044,0.012767741467868854,0.012686921059164155,3.725906372070284,2.4687042236328125,0.016112137996179856,211.23143005371094,202.82939727783204,207.4976375579834,211.66241868221394,1
2015-11-03,208.6121368408203,221.0856475830078,221.82855224609372,219.7255859375,220.1827545166016,11373522,0.0077099283680155395,0.007680358759420871,2.1029663085937216,0.9028930664062216,0.015309430099367888,212.1366195678711,202.8870001220703,207.63124443054198,212.55986905371813,0
2015-11-04,205.1827392578125,217.451171875,222.8686065673828,216.285400390625,221.26852416992188,10033187,-0.016439220490978457,-0.016575843866763477,6.5832061767578125,-3.817352294921875,0.01589531346754553,212.74522171020507,203.0470083618164,207.75485076904297,213.02570741764973,0
2015-11-05,202.01214599609372,214.09100341796875,217.38259887695312,213.2681121826172,216.9254302978516,10767454,-0.015452519423361899,-0.015573153953514851,4.1144866943359375,-2.834426879882841,0.01601882536397751,213.00580673217775,203.1779864501953,207.87102813720702,213.12716417958487,1
2015-11-06,205.41998291015625,217.7026214599609,218.2397918701172,214.3881683349609,214.74246215820312,8367190,0.016869546054400164,0.016728835539191415,3.8516235351562784,2.960159301757784,0.014893062778910615,213.7292724609375,203.73961547851562,207.9717761993408,213.56292201581115,1
2015-11-09,207.32882690429688,219.7255859375,220.582763671875,211.0851287841797,213.3824005126953,17031699,0.009292329435321767,0.009249421348056642,9.497634887695312,6.3431854248046875,0.01488639532269134,214.57388763427736,204.25667083740234,208.07641014099121,214.14984238930532,0
2015-11-10,199.02490234375,210.9251251220703,219.3255615234375,209.4507598876953,218.7541046142578,11486238,-0.04005205300912451,-0.04087621787481935,9.874801635742188,-7.8289794921875,0.01785740734979042,214.9281913757324,204.5737155151367,208.1256697845459,213.84272645909246,1
2015-11-13,201.24647521972656,213.279541015625,214.5367431640625,209.0393218994141,209.1650390625,13682323,0.011162330197467485,0.01110049114285457,5.497421264648409,4.114501953125,0.017978352028617212,215.37907180786132,204.86584503173827,208.15995727539064,213.7890897501908,1
2015-11-16,201.5160675048828,213.5652618408203,215.32534790039065,211.38229370117188,211.66802978515625,15346549,0.0013396541638954762,0.0013387576278655476,3.9430541992187784,1.8972320556640625,0.01787617393685546,215.73737564086915,205.14883087158202,208.1914446258545,213.76777280644123,0
2015-11-17,200.1033172607422,212.0680389404297,214.6167449951172,211.7137451171875,214.4224548339844,8588142,-0.0070106106558966985,-0.0070353004481295564,2.9029998779296875,-2.354415893554716,0.01798556133267113,216.01224670410156,205.4773046875,208.24173286437988,213.6058933906306,0
2015-11-18,196.7062225341797,208.4678649902344,212.8795166015625,207.999267578125,212.03375244140625,11249222,-0.01697650418320029,-0.01712225696721478,4.8802490234375,-3.5658874511718466,0.018247540725340683,215.98024520874023,205.8071502685547,208.2704200744629,213.11655735249764,1
2015-11-19,201.6131134033203,213.66812133789065,214.57102966308597,209.6679229736328,210.0450897216797,12183206,0.024945122107428164,0.024639071749699114,4.903106689453153,3.623031616210966,0.014644727387743358,215.65165634155272,206.19665588378905,208.32265129089356,213.1690872558684,1
2015-11-20,204.22293090820312,216.43397521972656,217.79405212402344,211.56515502929688,213.49668884277344,11304265,0.012944625826807554,0.01286156022535979,6.2288970947265625,2.937286376953125,0.01491922443891112,215.53907852172853,206.62182037353514,208.36836791992187,213.48002896671204,1
2015-11-23,205.71115112304688,218.01119995117188,218.95982360839844,216.285400390625,217.15402221679688,10499517,0.007287325059959215,0.0072609008037997184,2.6744232177734375,0.857177734375,0.015012919632557093,215.5247917175293,207.1605908203125,208.39619789123535,213.91156906047013,1
2015-11-24,208.72000122070312,221.19993591308597,222.09141540527344,217.3940277099609,217.8397674560547,14806176,0.014626477734301258,0.014520542532096788,4.697387695312528,3.3601684570312784,0.015363882381214023,215.6625129699707,207.77547943115235,208.45614379882812,214.60569923690971,1
2015-11-26,213.2386016845703,225.9887542724609,226.7430877685547,221.3256683349609,221.9542694091797,23805828,0.02164927552807505,0.021418258253560557,5.417419433593778,4.034484863281222,0.015662511551973967,216.18596801757812,208.41574096679688,208.54826278686522,215.68979971648602,0
2015-11-27,211.16802978515625,223.7943572998047,226.86880493164065,222.66287231445312,226.0687561035156,10891864,-0.00971020429631897,-0.009757655755489068,4.205932617187528,-2.274398803710909,0.015848013223679142,216.6374198913574,208.89576568603516,208.5956365966797,216.46166234346876,0
2015-11-30,208.590576171875,221.0627899169922,225.0172882080078,219.9655914306641,223.66864013671875,29919205,-0.012205702662793971,-0.012280803986824414,5.051696777343722,-2.6058502197265625,0.01614095261070464,216.98200912475585,209.35338928222657,208.63941024780274,216.8998649695186,0
2015-12-01,208.33175659179688,220.7884979248047,223.7372131347656,219.7255859375,220.35418701171875,12981379,-0.0012407877069248174,-0.001241558121338072,4.011627197265597,0.4343109130859375,0.01614148851758768,217.26659545898437,209.8331854248047,208.68764129638672,217.27021096526013,1
2015-12-02,210.93077087402344,223.5429229736328,223.9429473876953,220.46847534179688,220.86849975585935,7573628,0.012475401004658382,0.01239822439938037,3.4744720458984375,2.674423217773466,0.016284608071915053,217.6123275756836,210.35481231689454,208.7654167175293,217.86761210891467,0
2015-12-03,210.7689971923828,223.37147521972656,226.0573272705078,222.66287231445312,222.84573364257807,11361395,-0.0007669567509702713,-0.0007672510127662014,3.3944549560546875,0.5257415771484943,0.01608037077236909,217.8111946105957,210.85860961914062,208.85742141723634,218.3917895480396,0
